speaker,cleaned_text,debate,sentiment
Joe Biden,i know how to do the job i know how to get the job done,first,3
Donald Trump,well you didn’t do very well in swine flu h1n1 you were a disaster your own chief of staff said you were a disaster,first,0
Joe Biden,14000 people died not 200000,first,2
Donald Trump,a far less lethal disease by the way,first,2
mediator_1,sir you made a point let him answer it,first,2
Joe Biden,and there was no one … we didn’t shut down the economy this is his economy he shut down the reason it’s shut down is because look you folks at home how many of you got up this morning and had an empty chair at the kitchen table because someone died of covid how many of you are in a situation where you lost your mom or dad and you couldn’t even speak to them you had a nurse holding a phone up so you could in fact say goodbye,first,2
Donald Trump,we would have lost far more people far more people you would have been months late you’re months behind me joe,first,2
Joe Biden,his own cdc director says we could lose as many as another 200000 people between now and the end of the year and he said if we just wear a mask we can save half those numbers just a mask and by the way in terms of the whole notion of a vaccine we’re for a vaccine but i don’t trust him at all nor do you i know you don’t what we trust is a scientist,first,2
Donald Trump,you don’t trust johnson johnson pfizer,first,1
mediator_1,okay gentlemen gentlemen let me move on to questions about the future because you both have touched on two of the questions i’m going to ask focusing on the future first president trump you have repeatedly either contradicted or been at odds with some of your governments own top scientists the week before last the head of the centers for disease control dr redfield said it would be summer before the vaccine would become generally available to the public you said that he was confused and mistaken those were your two words but dr slaoui the head of your operation warp speed has said exactly the same thing are they both wrong,first,2
Donald Trump,well i’ve spoken to the companies and we can have it a lot sooner it’s a very political thing because people like this would rather make it political than save lives,first,1
Joe Biden,god,first,2
Donald Trump,it is a very political thing i’ve spoken to pfizer i’ve spoken to all of the people that you have to speak to moderna johnson johnson and others they can go faster than that by a lot it’s become very political because the left… or i don’t know if i call them left i don’t know what i call them,first,2
mediator_1,so you’re suggesting that the head of your operation warp speed dr slaoui,first,2
Donald Trump,i disagree with him no i disagree with both of them and he didn’t say that he said it could be there but it could also be much sooner i had him in my office two days ago,first,1
mediator_1,he talked about the summer sir before it’s generally available just like dr redfield,first,2
Donald Trump,because he said it’s a possibility that we’ll have the answer before november 1st it could also be after that,first,2
mediator_1,i’m talking about when it’s generally available not,first,2
Donald Trump,well we’re going to deliver it right away we have the military all set up logistically they’re all set up we have our military that delivers soldiers and they can do 200000 a day they’re going to be delivering,first,2
Joe Biden,this is the same man who told you,first,2
Donald Trump,it’s all set up,first,2
Joe Biden,… by easter this would be gone away by the warm weather it’d be gone miraculous like a miracle and by the way maybe you could inject some bleach in your arm and that would take care of it this is the same man,first,1
Donald Trump,that was said sarcastically and you know that that was said sarcastically,first,1
Joe Biden,so here’s the deal this man is talking about a vaccine every serious company is talking about maybe having a vaccine done by the end of the year but the distribution of that vaccine will not occur until sometime beginning of the middle of next year to get it out if we get the vaccine and pray god we will pray god we will,first,2
mediator_1,mr vice president i want to pick up,first,3
Donald Trump,you’ll have the vaccine sooner than that,first,2
mediator_1,i want to pick up on this question though you say the public can trust the scientists but they can’t trust president trump in fact you said that again tonight your running mate senator harris goes further saying that public health experts quote “will be muzzled will be suppressed” given the fact that polls already show that people are concerned about the vaccine and are reluctant to take it are you and your running mate senator harris contributing to that fear,first,2
Joe Biden,no more than the question you just asked him you pointed out he puts pressure and disagrees with his own scientists,first,2
mediator_1,but you’re saying you can’t,first,2
Joe Biden,everybody knows,first,2
mediator_1,or senator harris is saying you can’t trust the scientist,first,2
Joe Biden,well no no you can trust the scientist she didn’t say that you can trust the,first,2
mediator_1,she said that public health experts quote “will be muzzled will be suppressed”,first,2
Joe Biden,yes well that’s what he’s going to try to do but there’s thousands of scientists out there like here at this great hospital that don’t work for him their job doesn’t depend on him they’re the people… and by the way,first,2
Donald Trump,we spoke to the scientists that are in charge,first,2
Joe Biden,by the way,first,2
Donald Trump,… they will have the vaccine very soon,first,2
mediator_1,let him finish,first,2
Joe Biden,do you believe for a moment what he’s telling you in light of all the lies he’s told you about the whole issue relating to covid he still hasn’t even acknowledged that he knew this was happening knew how dangerous it was going to be back in february and he didn’t even tell you he’s on record as saying it he panicked or he just looked at the stock market one of the two because guess what a lot of people died and a lot more are going to die unless he gets a lot smarter a lot quicker,first,2
mediator_1,mr president,first,2
Donald Trump,did you use the word smart so you said you went to delaware state but you forgot the name of your college you didn’t go to delaware state you graduated either the lowest or almost the lowest in your class don’t ever use the word smart with me don’t ever use that word,first,0
Joe Biden,oh give me a break,first,1
Donald Trump,because you know what there’s nothing smart about you joe 47 years you’ve done nothing,first,0
Joe Biden,well let’s have this debate,first,2
Donald Trump,let me just tell you something joe if you would have had the charge of what i was put through i had to close the greatest economy of the history of our country and by the way now it’s being built again and it’s going up fast,first,2
mediator_1,we’ll get to the economy in the next segment sir,first,2
Donald Trump,okay it’s going up fast i look forward to talking about it,first,3
mediator_1,okay when it comes to how the virus has been handled so far the two of you have taken very different approaches and this is going to affect how the virus is handled going forward by whichever of you ends up becoming the next president i want to quickly go through several of those reopenings vice president biden you have been much more reluctant than president trump about reopening the economy and schools why sir,first,2
Joe Biden,because he doesn’t have a plan if i were running it i’d know what the plan is you’ve got to provide these businesses the ability to have the money to be able to reopen with the ppe as well as with the sanitation they need you have to provide them classic,first,1
Donald Trump,tell that to nancy pelosi,first,2
Joe Biden,will he just shush for a minute,first,1
Donald Trump,tell that to nancy pelosi and schumer crosstalk 000452 chuck,first,2
Joe Biden,nancy pelosi and schumer they have a plan he won’t even meet with them the republicans won’t meet in the senate he sits in his golf course well i mean literally think about it think about it,first,2
Donald Trump,you probably play more than i do joe,first,2
mediator_1,what about this question of reopenings and the fact,first,2
Donald Trump,well he wants to shut down this country and i want to keep it open and we did a great thing by shutting it down,first,2
Joe Biden,you just admitted you’d shut it down,first,1
Donald Trump,wait a minute joe let me shut you down for a second joe just for one second he wants to shut down the country we just went through it we had to because we didn’t know anything about the disease now we’ve found that elderly people with heart problems and diabetes and different problems are very very vulnerable we learned a lot young children aren’t even younger people aren’t we’ve learned a lot but he wants to shut it down more people will be hurt by continuing if you look at pennsylvania if you look at certain states that have been shut down they have democrat governors all one of the reasons they shut down is because they want to keep it shut down until after the election on november 3rd,first,2
mediator_1,all right i want to move onto another,first,2
Donald Trump,because it’s a political thing,first,2
mediator_1,i want to move onto another subject,first,1
Joe Biden,i got to respond to that,first,2
mediator_1,i want to move,first,3
Donald Trump,but those states,first,2
mediator_1,gentlemen i want to move onto another subject,first,1
Donald Trump,those states are not doing well that are shut down right now,first,1
Joe Biden,i got to respond to that,first,2
Donald Trump,he wants to shut down the whole country,first,2
mediator_1,president trump you have begun to increasingly question the effectiveness of masks as a disease preventer and in fact recently you have cited the issue of waiters touching their masks and touching plates are you questioning the efficacy of masks,first,2
Donald Trump,no i think masks are okay you have to understand if you look… i mean i have a mask right here i put a mask on when i think i need it tonight as an example everybody’s had a test and you’ve had social distancing and all of the things that you have to but i wear masks,first,2
Joe Biden,just like your rally,first,2
Donald Trump,… when needed when needed i wear masks,first,2
mediator_1,okay let me ask,first,2
Donald Trump,i don’t wear a mask like him every time you see him he’s got a mask he could be speaking 200 feet away from him and he shows up with the biggest mask i’ve ever seen i will say this,first,3
mediator_1,vice president biden go ahead sir,first,2
Joe Biden,look the way to open businesses is give them the wherewithal to be able open we provided money the,first,2
mediator_1,but i was asking you sir about masks,first,2
Joe Biden,well masks make a big difference his own head of the cdc said if we just wore masks between now if everybody wore a mask and social distanced between now and january we’d probably save up to 100000 lives it matters it matters,first,3
Donald Trump,and they’ve also said the opposite they’ve also said,first,2
Joe Biden,no serious person has said the opposite no serious person,first,2
mediator_1,okay i want to ask you,first,2
Donald Trump,dr fauci dr fauci said the opposite,first,2
Joe Biden,he did not say the opposite,first,2
mediator_1,i want to ask you we’ve got a little than a minute left in this segment,first,2
Donald Trump,he said very strongly “masks are not good” then he changed his mind he said “masks are good”,first,2
mediator_1,i want to ask,first,2
Donald Trump,i’m okay with masks i’m not fighting masks,first,2
mediator_1,i want to ask you both about one last subject because your different approaches has even affected the way that you have campaigned president trump you’re holding large rallies with crowds packed together thousands of people,first,2
Donald Trump,outside,first,2
mediator_1,outside yes sir agreed vice president biden you are holding much smaller events with,first,2
Donald Trump,because nobody will show up,first,1
mediator_1,… people with masks,first,2
Donald Trump,well it’s true nobody shows up to his rallies,first,1
mediator_1,all right in any case why you holding the big rallies why you not you go first sir,first,2
Donald Trump,because people want to hear what i have to say i mean,first,2
mediator_1,but are not worried about us spreading disease,first,2
Donald Trump,… i’m doing my job as a president and i’ll have 25 35000 people show up at airports we use airports and hangers and we have a lot of people,first,2
mediator_1,are you not worried about the disease issues sir,first,2
Donald Trump,well so far we have had no problem whatsoever it’s outside that’s a big difference according to the experts we do them outside we have tremendous crowds as you see and literally on 24 hours notice and joe does the circles and has three people someplace,first,3
Joe Biden,by the way did you see one of the last big rallies he had a reporter came up to him to ask him a question he said “no no no stand back put on your mask put on a mask have you been tested i’m way far away from those other people” that’s what he said “i’m going to be okay” he’s not worried about you he’s not worried about the people out there crosstalk 000848,first,2
Donald Trump,we’ve had no negative effect,first,3
Joe Biden,no negative effect come on,first,2
Donald Trump,we’ve had no negative effect and we’ve had 35 40000 people at these rallies,first,3
mediator_1,all right do you want to just quickly finish up because i want to move on to our next,first,2
Joe Biden,yes i would he’s been totally irresponsible the way in which he has handled the social distancing and people wearing masks basically encouraged them not to he’s a fool on this,first,0
Donald Trump,if you could get the crowds you would have done the same thing but you can’t nobody cares,first,1
mediator_1,gentlemen can we move on to the,first,2
Donald Trump,no cares,first,2
mediator_1,gentlemen can we move on to the economy,first,2
Donald Trump,yes,first,2
mediator_1,the economy is i think it’s fair to say recovering faster than expected from the shutdown,first,3
Donald Trump,much faster,first,2
mediator_1,… in the second quarter the unemployment rate fell to 84 last month the federal reserve says the hit to growth which is going to be there is not going to be nearly as big as they had expected president trump you say we are in a vshaped recovery vice president biden you say it’s more of a kshape what difference does that mean to the american people in terms of the economy president trump in this segment you go first,first,2
Donald Trump,so we built the greatest economy in history we closed it down because of the china plague when the plague came in we closed it down which was very hard psychologically to do he didn’t think we should close it down and he was wrong again two million people would be dead now instead of… still 204000 people is too much one person is too much should have never happened from china but what happened is we closed it down and now we’re reopening and we’re doing record business we had 104 million people in a four month period that we’ve put back into the workforce that’s a record the likes of which nobody’s ever seen before and he wants to close down the… he will shut it down again he will destroy this country,first,2
Donald Trump,a lot of people between drugs and alcohol and depression when you start shutting it down you take a look at what’s happening at some of your democratrun states where they have these tough shutdowns and i’m telling you it’s because they don’t want to open it one of them came out last week you saw that “oh we’re going to open up on november 9th” why november 9th because it’s after the election they think they’re hurting us by keeping them closed they’re hurting people people know what to do they can social distance they can wash their hands they can wear masks they can do whatever they want but they got to open these states up,first,2
Donald Trump,when you look at north carolina when you look and these governors are under siege pennsylvania michigan and a couple of others you got to open these states up it’s not fair you’re talking about almost it’s like being in prison and you look at what’s going on with divorce look at what’s going on with alcoholism and drugs it’s a very very sad thing and he’ll close down the whole country this guy will close down the whole country and destroy our country our country is coming back incredibly well setting records as it does it we don’t need somebody to come in and say “let’s shut it down”,first,2
mediator_1,all right your two minutes sir we’re now moved to you as i said posing the question the president says it’s a vshape recovery you say it’s a kshaped recovery what’s the difference,first,2
Joe Biden,the difference is millionaires and billionaires like him in the middle of the covid crisis have done very well billionaires have made another 300 billion because of his profligate tax proposal and he only focused on the market but you folks at home you folks living in scranton and claymont and all the small towns and working class towns in america how well are you doing this guy paid a total of 750 in taxes,first,2
Donald Trump,that’s wrong,first,1
mediator_1,sir wait no sir,first,2
Donald Trump,crosstalk 001219,first,2
